,0
0,Algeria
1,Angola
2,Benin
3,Botswana
4,Burkina Faso
5,Burundi
6,Cameroon
7,Cape Verde
8,Central African Republic
9,Chad
10,Comoros
11,Congo
12,Djibouti
13,Egypt
14,Equatorial Guinea
15,Eritrea
16,Eswatini
17,Ethiopia
18,Gabon
19,Ghana
20,Guinea
21,Guinea Bissau
22,Ivory Coast
23,Kenya
24,Lesotho
25,Liberia
26,Libya
27,Madagascar
28,Malawi
29,Mali
30,Mauritania
31,Mauritius
32,Morocco
33,Mozambique
34,Namibia
35,Niger
36,Nigeria
37,Republic Of Congo
38,Rwanda
39,Sao Tome And Principe
40,Senegal
41,Seychelles
42,Sierra Leone
43,Somalia
44,South Africa
45,South Sudan
46,Sudan
47,Tanzania
48,Gambia
49,Togo
50,Tunisia
51,Uganda
52,Zambia
53,Zimbabwe
